observation,sender,sender_type,sender_id,response,response_action,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,url_vp,url_sess,meta_labjs_version,meta_location,meta_user_agent,meta_platform,meta_language,meta_locale,meta_time_zone,meta_timezone_offset,meta_screen_width,meta_screen_height,meta_scroll_width,meta_scroll_height,meta_window_inner_width,meta_window_inner_height,meta_device_pixel_ratio,meta_labjs_build_flavor,meta_labjs_build_commit,distractors,german,swahili,enc,distractor1,distractor2,distractor3,x,correct,x_2
5e5e9,Introduction general,canvas.Screen,0,weiter,keypress(q),response,22322.100000048,1184.7000000477,1874.4,1891.1,24213.200000048,24217.900000095,2024-04-01T09:30:05Z,24227.4,139,3,20.2.4,https://neurocog.fernuni.ch/studies/vweber/aberisha/encoding_immediate/index.html?vp=139&sess=3,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36",Win32,de-DE,de,Europe/Zurich,-120,1739,979,1740,763,1740,811,1.1041666269302,production,f5b4a49f956347addd546a832a3327688c2c0fef,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5e5e9,Introduction practice,canvas.Screen,1_0,NA,keypress(Space),response,8198.4000000715,24218.600000024,24206.808,24227.4,32425.800000072,32426.400000095,2024-04-01T09:30:13Z,32439.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA
5e5e9,deep,flow.Sequence,1_1_0_0,NA,NA,skipped,NA,32426.700000048,NA,NA,32425.800000072,32426.900000095,2024-04-01T09:30:13Z,32439.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(""distractor1"", ""distractor2"", ""distractor3"")",Kritik,lawama,s,dereva,nafasi,mawazo,NA,NA,NA
5e5e9,Shallow Question,html.Page,1_1_0_1_0,lawama,NA,form submission,7283.1000000715,32427,32427.2,32439.2,39722.300000072,39722.600000024,2024-04-01T09:30:20Z,39734.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(""distractor1"", ""distractor2"", ""distractor3"")",Kritik,lawama,s,dereva,nafasi,mawazo,NA,NA,NA
5e5e9,"""Richtig""-Screen",canvas.Screen,1_1_0_1_1,NA,NA,timeout,4996.9,39724.5,39718.064,39734.6,44714.9,44716.400000095004,2024-04-01T09:30:25Z,44731.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(""distractor1"", ""distractor2"", ""distractor3"")",Kritik,lawama,s,dereva,nafasi,mawazo,NA,1,NA
5e5e9,"""Falsch""-Screen",canvas.Screen,1_1_0_1_2,NA,NA,skipped,NA,44719.800000072,NA,NA,44714.9,44720.100000024,2024-04-01T09:30:25Z,44731.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(""distractor1"", ""distractor2"", ""distractor3"")",Kritik,lawama,s,dereva,nafasi,mawazo,NA,NA,NA
5e5e9,shallow,flow.Sequence,1_1_0_1,NA,NA,completion,12275.7,32427,32427.2,32439.2,44714.9,44720.5,2024-04-01T09:30:25Z,44731.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(""distractor1"", ""distractor2"", ""distractor3"")",Kritik,lawama,s,dereva,nafasi,mawazo,NA,NA,NA
5e5e9,task,flow.Sequence,1_1_0,NA,NA,completion,12275.7,32426.700000048,32427.2,32439.2,44714.9,44720.900000095004,2024-04-01T09:30:25Z,44731.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(""distractor1"", ""distractor2"", ""distractor3"")",Kritik,lawama,s,dereva,nafasi,mawazo,NA,NA,NA
5e5e9,Deep Question,html.Page,1_1_1_0_0,kakama,NA,form submission,5062.9000000954,44721.200000048,44714.9,44731.5,49794.400000095004,49794.600000024,2024-04-01T09:30:30Z,49813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(""distractor1"", ""distractor2"", ""distractor3"")",Schatten,kivuli,d,NA,NA,NA,NA,NA,NA
5e5e9,"""Richtig""-Screen",canvas.Screen,1_1_1_0_1,NA,NA,skipped,NA,49795.900000095004,NA,NA,49794.400000095004,49796.200000048,2024-04-01T09:30:30Z,49813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(""distractor1"", ""distractor2"", ""distractor3"")",Schatten,kivuli,d,NA,NA,NA,NA,NA,NA
5e5e9,"""Falsch""-Screen",canvas.Screen,1_1_1_0_2,NA,NA,timeout,4995.7,49797.300000072,49797.48,49813,54792,54793.200000048,2024-04-01T09:30:35Z,54808.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(""distractor1"", ""distractor2"", ""distractor3"")",Schatten,kivuli,d,NA,NA,NA,NA,0,NA
5e5e9,deep,flow.Sequence,1_1_1_0,NA,NA,completion,10060.5,44721.200000048,44714.9,44731.5,54792,54793.700000048,2024-04-01T09:30:35Z,54808.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(""distractor1"", ""distractor2"", ""distractor3"")",Schatten,kivuli,d,NA,NA,NA,NA,NA,NA
